,smiles,logP
294,CCCCC[C-]=C,4.0
295,C(CF)[C@@H](O)Cl,1.0
296,CN(C)C(N)N,-1.4
297,C(C[NH3+])CNCC[NH3+],-1.7
298,[CH2-]C([CH2+])CCCN,1.3
299,CC1SS1,1.2
300,CI(S)I,2.7
301,CCC([CH2])OCC,1.8
302,CCOCC[NH-],-0.5
303,CN(C)[S+](F)F,2.2
304,CCCC[C@@H](C)Cl,3.0
305,CNNCCCN,-1.0
306,C([CH]CBr)Br,2.4
307,C[N-]CCSC,0.4
308,[2H]C(CC)C([2H])(C([2H])([2H])C([2H])([2H])[2H])O,1.7
309,CC(CCCBr)F,2.5
310,[CH2+]CCS[O-],0.8
311,CP(C)CCCO,-0.4
312,C1CCC(C1)[O-],1.9
313,CCONCNC,-0.1
314,CP(CO)CO,-1.2
315,CNSS,0.7
316,CON(CO)OC,-0.2
317,C(CCCl)CO,0.8
318,C(=O)C(I)I,1.2
319,C=CNCCN,-0.1
320,[2H]C([2H])(CCCCBr)C([2H])([2H])Br,3.2
321,CCCC(NC)O,0.5
322,CCCCP(F)F,2.3
323,[2H]C([2H])(C([2H])(C)Cl)Cl,1.8
324,CCS[C](C)C,2.0
325,CCCOC[CH2+],1.3
326,CPPC,-0.2
327,C(C[O-])CCl,1.6
328,C(CC(O)O)CI,1.0
329,CS/C=C/C[CH2],2.0
330,COC(NN)S,-0.5
331,CSC(N)NN,-1.0
332,CCC(OC)F,1.5
333,CCC(C)C[N-]C,1.5
334,CCC(CC)SCC,3.1
335,C(NC(F)F)(F)F,1.7
336,C(CF)NCCI,1.2
337,[3H]CSOO[3H],0.0
338,CC[C@H](CN)F,0.6
339,C(CCl)CCl,2.0
340,CCNNNCC,0.1
341,CC(C(O)P)O,-0.9
342,[2H]C#CCBr,1.1
343,CC(C)(S)S,1.5
344,CC(COCO)O,-0.8
345,CON=NI,1.7
346,CCC[C](C)CC,3.7
347,C(C[PH+](O)[O-])N,-2.1
348,COCCCOOC,0.3
349,C(C(=O)[O-])[SH2+],0.8
350,C(CCI)CP,1.9
351,C[C@H](CO)S,0.3
352,CCC(C)PCC,1.6
353,C(C(Cl)Br)F,2.1
354,CCC(CC)CCl,2.9
355,CN([CH2+])CCCN,-0.3
356,[2H]C([2H])(CBr)CBr,2.4
357,CN(C)CCNF,-0.1
358,C(=S)(F)F,1.4
359,C1C(O1)Br,0.8
360,C[P+](C)(Cl)Cl,1.5
361,C(CCON)CON,-0.8
362,C(F)(Cl)(Cl)Br,2.7
363,C[C-](C)N(C)C,1.1
364,[2H]C([2H])([2H])OCCC[CH+]C,1.9
365,CCCC(CO)F,1.2
366,C=C(Cl)Br,2.4
367,C(CSSS)O,0.7
368,[3H]SI(C)F,2.4
369,C(CF)NCF,0.6
370,CCCCOOCC,1.7
371,CCCCCC[CH+]CC,4.5
372,C([C@H](Cl)Br)Br,2.5
373,CCOC(C)O[O],0.3
374,CCC(C)CCP,2.1
375,[C-](=S)PF,0.9
376,C(C(CCl)N)F,0.3
377,C1=NC=PP1,-1.2
378,[3H][C-](OC)SC,0.8
379,CSOCCl,1.2
380,CCCC[S-],2.3
381,C[CH-]C(C)C(C)C,3.4
382,CP(SC)SC,0.8
383,CC/C=C/CO,0.9
384,CC(C)[I-]F,2.9
385,CCC[C@H](C)CC,3.7
386,CCC(CCS)Cl,2.4
387,CCN(O)OC,0.2
388,C[N+](C)(C)O[11CH3],0.3
389,C[C@H](CON)N,-1.2
390,C1CCN[14CH2]C1,0.8
391,C(=O)SS,0.7
392,C(=NI)NI,1.1
393,C=CCCC=C,2.9
394,C(PP)Br,0.6
395,CCN(C)SC,1.1
396,C(CO)CP=O,-1.1
397,CCNC[C@@H](C)N,-0.3
398,C(CI)I,2.7
399,CPSCN,-0.5
400,[C@@H]([C@H](Cl)Br)(Cl)Br,3.3
401,[2H]C([2H])([2H])C([2H])([2H])[N+](=O)[O-],0.2
402,C(CN(O)[O-])N,-1.7
403,C(C(N)N)(N)N,-3.2
404,C(CN)C(N)O,-1.8
405,[2H]S(=P)C,1.0
406,CCC[C@H](C)I,3.4
407,CSSCCSSC,1.6
408,C(CI)NNN,-0.1
409,CP(C)NP(C)C,-0.4
410,CCCC(C)Br,2.7
411,C1CO[CH]OC1,-0.2
412,CNI(C)C,1.1
413,CC(F)(F)Cl,2.0
414,C(CO)N(N)N,-1.9
415,COCC(O)OC,-0.6
416,CCOC(C)OO,0.3
417,C(/C=C/N)Br,0.6
418,CCPC=CC,1.0
419,CC(=[18O])Cl,0.8
420,[2H][C]([2H])[Cl+]Cl,1.6
421,C(CO)[C@@H](O)Cl,0.0
422,C[C@@H](CNC)OC,0.1
423,C(COCN)CS,-0.1
424,C(=N/O)\I,0.9
425,CCOCOCC,0.8
426,C(CF)C(F)I,2.1
427,C(C(CO)CP)O,-1.2
428,CCOCCCP,0.5
429,C(NCl)ONN,-0.9
430,CNSNC,0.0
431,CC/C=C/C[19F],1.9
432,C(C(CN)CS)N,-1.1
433,CC(CC[CH2])Br,2.7
434,C=CCNCCl,1.1
435,CCCCC(C)[CH2],3.7
436,CC(C=O)S,0.4
437,C1CC1CC[NH],0.8
438,C[S+](C)CS,1.3
439,C(COCCF)N,-0.5
440,C(O)(Cl)([Cl+])[Cl+],1.5
441,CCCCOS,1.8
442,CCC(C)CN,1.0
443,CCN(C)CCF,1.0
444,CCCC(C)[CH],3.2
445,CCC(OCC)P,1.2
446,CCCCOCBr,2.5
447,CCCOP(O)O,-0.1
448,CCCC(C)OS,2.2
449,C(C[NH2+]CCO)[NH3+],-1.7
450,C[C@@H](CN)S,0.0
451,CC(CCCO)N,-0.3
452,C(CN)C(O)Cl,-0.3
453,CN(C)CCNO,-0.7
454,C(C(I)I)O,1.3
455,C[C@@H](CCOC)O,0.2
456,CCP(O)Cl,0.6
457,C(C(O)O)(N)O,-2.4
458,[2H]C([2H])([2H])C([2H])(C)NC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H],1.4
459,[2H][13C](C)([13C]([2H])(C)O)N,-0.5
460,CN(CO)OC,-0.3
461,[CH]([ClH+])Cl,1.5
462,[2H]C1(CNC(CN1)([2H])[2H])[2H],-1.5
463,CC1COOC1,0.7
464,CCCCC[C-](C)C,4.3
465,C(N)(S)Br,0.6
466,CCOCC(Cl)Cl,1.8
467,CC(C)(C)PCl,1.7
468,CP(CN)S,-0.4
469,C1=CC#[P+]C=C1,0.5
470,C=[C]CCCO,1.0
471,C[C@@H](CF)CBr,2.1
472,C(CI)CI,3.0
473,CCCCCOBr,2.8
474,COP(N)N,-1.5
475,CC1OOOO1,0.5
476,C(C(O)F)Br,0.8
477,CCCC=CS,2.2
478,[2H]N=I([2H])(C)I,2.9
479,CCN(CC)SC,1.4
480,CSPC=C,0.8
481,CCCCOCI,2.4
482,C[S+](C)CC=C,1.5
483,C(C=CCI)I,3.0
484,CCC(CC)SBr,3.3
485,CCSSS,1.8
486,C1O[I-]1,0.8
487,C(CS)OC=O,0.4
488,C(PP)Cl,0.5
489,[2H]C([2H])([2H])CCCCCCC,3.9
490,[2H]C([2H])(C([2H])([2H])C([2H])([2H])N)C([2H])([2H])N,-0.9
491,C[P+](C)(N)N,-1.5
492,[2H]C(C)(C)P=S,1.7
493,C(OBr)Br,1.9
494,C(CO)[C@@H](N)O,-1.6
495,CCCCCCC[CH2-],3.9
496,CCCCNCCl,1.7
497,CCC(CCl)NC,1.3
498,CCC(CC)S,2.4
499,CC(C)N(S)S,2.0
500,[2H][C@](C)(COC)N,-0.4
501,[2H]C([2H])(C)C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O,2.0
502,CCSCCCCl,2.2
503,C1C[C+](C1)C[O-],1.9
504,C(/C=C/I)S,1.7
505,C[C@@H](C(Cl)Cl)Br,2.8
506,CSCCCS,1.5
507,[2H]C([2H])(CO)Br,0.2
508,CC(C)CCCBr,3.0
509,CC(C)(C)OS,1.5
510,CC(Cl)Br,2.1
511,C1NCNSN1,-0.5
512,C(CCNI)CN,-0.1
513,CC(CCCl)Cl,2.2
514,C1N(O1)Br,0.7
515,C[C@H](CCBr)F,2.1
516,CC[C@H](CBr)OC,1.8
517,CCNCN(C)C,0.3
518,CCC[C@@H](CO)Cl,1.5
519,[CH+]1C(O1)CCl,0.5
520,C(CCBr)COP,1.4
521,COCCC(F)F,1.3
522,CCCC(C)[13CH3],3.2
523,C(C[NH3+])C[NH2+]CC[NH3+],-1.7
524,[2H]C([2H])([2H])C(CCCBr)C([2H])([2H])[2H],3.0
525,CCCC[P@@](C)S,1.7
526,CCSSCN,0.4
527,C(C(Cl)Cl)(P)Cl,2.0
528,[2H]C([2H])(CCC)Br,2.8
529,[CH2-]CCCCCCCC[CH2-],5.0
530,C[S+]C(=N)[NH],0.2
531,C[C@H](CCO)F,0.7
532,CC(C)COI,2.3
533,CC(C)[S+](C)C,1.7
534,CCCCSCNC,1.8
535,CC(C)[CH]Br,2.3
536,CCO[CH]OCC,0.8
537,[CH2+]C[N-]CC[O],-0.5
538,CCCCNCCCl,1.6
539,CCC(CCl)OC,1.6
540,CC/C=C\CC,2.5
541,C1COC1[S-],0.7
542,C1COC1Br,1.1
543,CCC(S)Br,2.3
544,CC(C)[CH]C=C,2.7
545,[2H]CC(C)C(C)CC,3.4
546,C[C@@H]([C@@H](Cl)Br)Br,2.9
547,[2H]C(=O)OCCC,0.8
548,[CH]CCCCBr,3.4
549,C1CN(C1)I,0.8
550,C1CCNNC1,0.0
551,COCCCCOC,0.6
552,CCC[CH]CCOO,1.9
553,C=[O+]CCCO,0.8
554,[13CH3]S(=O)O,-0.5
555,CC[NH2+]CCOCC,0.4
556,C1[C@@H](O1)CBr,0.8
557,CC(C)N(Br)Br,2.0
558,CN(CI)S,1.5
559,C(=CCl)OBr,2.1
560,CS[C]SC,1.6
561,C([35Cl])[35Cl],1.5
562,CC(S)SCO,1.1
563,[2H]C(CCCC)C([2H])([2H])C([2H])([2H])Br,4.4
564,CC[CH][NH2+]CC,1.1
565,[2H][13CH]([13C@@H](C([2H])([2H])O)O)O,-1.8
566,C=CSCN,0.5
567,[2H]C(C)C(C)Br,2.3
568,[2H]C([2H])(CCCC)Br,3.4
569,CSNCC=O,-0.2
570,CCCNNCN,-0.4
571,C1CC1CCN,0.8
572,C[C@H](C[C@H](C)Br)Br,3.0
573,CCCOP=O,0.5
574,CSC(N)NCl,0.1
575,CCCC[C@H](F)S,2.8
576,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C=O,1.1
577,CN(C)P(O)O,-0.8
578,CC(CCCP)N,0.1
579,CSOO[O-],0.0
580,CCCCC[NH],1.5
581,C(CF)C(O)Cl,1.0
582,[2H]C([2H])([2H])C(CC)(C([2H])([2H])[2H])O,0.9
583,CNSCC=C,0.9
584,CCCNCNC,0.4
585,C(CPO)C=O,-1.1
586,C1C(N1)CBr,0.4
587,CP(C)CCl,0.6
588,CC(C)(C)S,1.5
589,CC(CN)[S-],0.0
590,C1C(O1)CP,-0.4
591,CC(OC)ON,-0.3
592,CCC(CO)CS,1.0
593,C(CCCS)CCN,1.0
594,CCNC(O)O,-0.9
595,C(N)OOON,-1.4
596,[2H]CC([2H])(O)Cl,0.7
597,COCCCSO,0.2
598,CCC(S)I,2.2
599,COCCOCOO,-0.6
600,[CH2-]CCCC[CH2+],3.9
601,[2H]C1C(OC(C(O1)([2H])[2H])([2H])[2H])([2H])[2H],-0.3
602,CCCCCCOCl,3.2
603,C(CCl)OCCl,1.4
604,C(P)(P)Br,0.6
605,CSCCC=S,0.9
606,[2H]CC(CC)CF,2.3
607,C(NN(F)F)NF,-0.1
608,CCCC=[PH2+],-0.2
609,[2H]C1CCCCC1,3.4
610,C(C(F)Cl)F,1.7
611,C(C(N)(N)N)P,-2.8
612,CCSCN=C,2.5
613,COCCOP,-0.3
614,C(C(CS)O)F,0.2
615,C[C@H](F)I,1.8
616,C([C@@H](CCl)Cl)O,0.8
617,C(NI)[I-]SO,0.9
618,CCC[C@@H](N)I,1.3
619,C=NCCP,1.0
620,CC([CH])CCNC,1.5
621,C(CS)OCS,0.8
622,CCNNN(C)C,0.2
623,CS(C)(C)CCl,1.6
624,C(C(CS)CS)S,1.3
625,C(=S)OS,1.2
626,CCNNCN,-0.9
627,C(OO)OO,-1.0
628,C(ON)SSOP,0.0
629,CSPN,-0.4
630,CCCN(C)CP,0.9
631,CC(C[CH2])OO,0.9
632,CCO[CH][O+]=C,1.4
633,C(C(F)I)I,2.5
634,C(=NNO)Br,1.0
635,CCO[S+](C)C,1.3
636,C[NH+]C=CCl,1.1
637,C(CNCCBr)N,-0.4
638,C(P)(P)(Cl)Cl,0.9
639,CC(C)SCOC,1.6
640,C=NSN=C,3.5
641,C(=CI)P,0.9
642,[3H]COCCCC,1.7
643,CCN(C)PC,0.5
644,[CH2]N1CCCC1,0.9
645,CCC(C)NC[CH],1.4
646,CCI(C)I,3.6
647,CC(C)OPC,0.8
648,CCC[CH-]S,2.3
649,C(CC=O)CBr,0.8
650,CN(C)CNCN,-0.9
651,CCC(C)COC,1.8
652,[13CH2]([13CH]([13CH2]O)O)O,-1.8
653,CC[C@H](C)NOC,1.2
654,CCN(CC)CN,0.2
655,C1OCSCO1,0.6
656,CNSOO[O-],-0.2
657,CC(C)(C)PO,0.4
658,C(CO)N(Cl)Cl,0.2
659,CC(C[CH2])CCN,1.5
660,C(CCl)OCl,1.5
661,C(CCCCl)CCO,1.6
662,CC(CON)O,-0.9
663,C(C(=O)[O-])Cl,1.1
664,CN=IF,1.5
665,CCOCC[CH],1.3
666,CCCCCOCN,1.0
667,CCCC[C@@H](C)I,3.9
668,C1COSN1,0.1
669,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])NCCC,1.7
670,CC(CCCS)N,0.7
671,[CH2]CCCCCS,3.3
672,CCNSNCC,0.7
673,C(C(CN)O)N,-2.3
674,C[P+](=S)S,1.5
675,C[C@H](CO)Br,0.7
676,[2H]C1(C(O1)([2H])C([2H])([2H])Cl)[2H],0.5
677,CCC(P)P,0.6
678,C1NNCNN1,-1.1
679,[CH]=C(F)Br,1.9
680,COC1CS1,0.7
681,CCCC(CN)F,0.9
682,CCSSCCO,0.6
683,C(CO)C(S)S,0.6
684,[3H]C(C)(C)C(C)S,2.3
685,C=CCC[CH]O,1.0
686,C[NH+](C)C[NH+](C)C,0.4
687,C(O)(F)Br,0.9
688,CC(C)PI,1.6
689,CS/N=N/SC,1.5
690,C1CC(C1)CO,0.8
691,C(OI)(F)F,1.9
692,CCCON(C)C,1.2
693,C(/C=C/N)S,0.1
694,CC(C)C([CH2])O,1.3
695,CNCNCNCN,-1.7
696,CC(CS)CBr,2.1
697,CCCCCCNS,2.6
698,CCC(CCCl)Br,2.9
699,C1CC1CS,1.3
700,C(S)SCS,1.6
701,[2H]C1CCCC(C1([2H])[2H])[2H],3.4
702,[2H]C([2H])([2H])C([2H])(C)C([2H])([2H])C([2H])([2H])O[2H],1.2
703,CO[I-]I,1.8
704,[2H]C([2H])(C([2H])([2H])S[2H])O[2H],-0.2
705,CSCCSC,1.5
706,C1=CN=NC=[NH+]1,-0.6
707,CCCCCNCl,1.9
708,[12CH2](Cl)Cl,1.5
709,C(CCSCl)CO,1.3
710,[2H]C(C)I,2.1
711,C(F)(F)(S)Br,2.1
712,CNSOO,-0.2
713,CP(C)CI,0.7
714,[2H]C([2H])([2H])CCC[CH]C([2H])([2H])[2H],3.9
715,C(CN)C(N)P,-1.5
716,C(CN)CON,-1.3
717,C(=C/Cl)\NO,0.6
718,CCC(CCCl)N,1.2
719,CCCNN=O,0.9
720,C(COCCBr)N,-0.1
721,CC(CCl)F,1.6
722,CCCNCF,1.1
723,CSOSO,0.5
724,CCCONO,0.2
725,C(OO)(Cl)Cl,1.0
726,C[NH+](CO)CO,-0.9
727,C(CO)NC[18F],-0.4
728,CP(CBr)CBr,1.6
729,CCCNCCNC,0.3
730,CC(C)(C)[PH2+][O-],0.3
731,[2H]C([2H])(CCCCC)Br,3.8
732,CNCCOO,-0.8
733,C[CH]CN(C)C,1.2
734,CNN(CN)CN,-1.7
735,CCCC(C)S,2.2
736,CCC(CN)O,-0.4
737,C1=POP=C1,-1.6
738,CCSSCS,1.7
739,CCCP(C)CCC,1.7
740,CCCNCCS,1.0
741,COP(C)F,0.5
742,[2H]C(C([2H])C([2H])C([2H])([2H])N([2H])[2H])C([2H])C([2H])([2H])N([2H])[2H],-0.2
743,C(CCI)CBr,3.0
744,[2H]CC(I)I,2.5
745,CCCP(O)O,-0.2
746,[H][C@]([2H])(CNP)OPP,-0.7
747,COC=CBr,1.2
748,C[I-]F,1.9
749,C(F)(SI)I,3.0
750,C(=O)C(Cl)Br,1.2
751,CCCC[C@@H](C)F,2.8
752,[13CH2]1[13CH2]O[13CH2][13CH2]N1,-0.9
753,C([C@@H](CCl)O)F,0.5
754,[2H]P=S(C)C,0.9
755,CSCSSCSS,2.5
756,CC=NBr,1.0
757,C(COCF)O,-0.2
758,CSOOCO,0.0
759,CCSN(C)C,1.1
760,C(CNI)CS,0.8
761,C(CNC=S)N,-0.8
762,CCOOOS,1.0
763,C(S)S(=O)[O-],-0.8
764,[13CH2]([13CH2][13CH2]Br)[13CH2]Br,2.5
765,CC/C=C/CS,1.8
766,[2H]/C(=C(\[2H])/Br)/Br,1.9
767,CC([13CH3])I,2.3
768,C(CN=O)CI,1.0
769,CSPI,1.2
770,[3H]C(Cl)(Cl)Cl,2.3
771,CP(C)OI,0.8
772,CCOCO[CH2],0.4
773,CCOP(F)Br,1.8
